hhPersonID,ST_WOTAG_str,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
200811__1,SAT,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,SHOPPING,DRIVING,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME
200816__1,THU,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,DRIVING,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME
200816__2,THU,HOME,HOME,HOME,HOME,HOME,HOME,HOME,DRIVING,WORK,WORK,WORK,WORK,HOME,HOME,DRIVING,SHOPPING,SHOPPING,HOME,HOME,HOME,HOME,HOME,HOME,HOME
200826__1,SAT,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,DRIVING,WORK,WORK,WORK,WORK,WORK,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME
200828__1,TUE,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,DRIVING,WORK,WORK,WORK,WORK,WORK,WORK,WORK,WORK,HOME,HOME,HOME,HOME,HOME,HOME
200828__2,TUE,HOME,HOME,HOME,HOME,HOME,HOME,HOME,WORK,WORK,WORK,WORK,WORK,WORK,WORK,WORK,SHOPPING,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME
200856__1,MON,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,SHOPPING,SHOPPING,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME
200856__2,MON,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,LEISURE,DRIVING,HOME,HOME
200865__1,SAT,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,DRIVING,HOME,HOME,HOME,HOME,LEISURE,HOME,OTHER,HOME,HOME,HOME,HOME,HOME,HOME
200870__1,MON,HOME,HOME,HOME,HOME,HOME,HOME,HOME,SHOPPING,SHOPPING,SHOPPING,SHOPPING,SHOPPING,SHOPPING,SHOPPING,SHOPPING,SHOPPING,SHOPPING,SHOPPING,SHOPPING,HOME,HOME,HOME,HOME,HOME
200886__2,SAT,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,SHOPPING,SHOPPING,SHOPPING,SHOPPING,SHOPPING,SHOPPING,SHOPPING,SHOPPING,SHOPPING,HOME,HOME,HOME,HOME,HOME,HOME,HOME
200930__1,MON,HOME,HOME,DRIVING,WORK,WORK,WORK,WORK,WORK,WORK,WORK,WORK,WORK,WORK,WORK,WORK,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME
200938__1,SAT,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,SHOPPING,DRIVING,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME
200951__1,FRI,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME
200954__1,WED,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,WORK,WORK,WORK,WORK,WORK,WORK,WORK,WORK,WORK,WORK,WORK,HOME,HOME,LEISURE,HOME,HOME
200961__1,WED,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,DRIVING,LEISURE,LEISURE,LEISURE,LEISURE,LEISURE,LEISURE,HOME,HOME,HOME,HOME,HOME,HOME,HOME
200991__1,FRI,HOME,HOME,HOME,HOME,HOME,HOME,HOME,DRIVING,WORK,WORK,DRIVING,HOME,HOME,HOME,HOME,HOME,HOME,DRIVING,HOME,HOME,HOME,HOME,HOME,HOME
200991__2,FRI,HOME,HOME,HOME,HOME,HOME,HOME,HOME,DRIVING,WORK,WORK,WORK,DRIVING,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME
200995__1,TUE,HOME,HOME,HOME,HOME,HOME,HOME,HOME,DRIVING,DRIVING,DRIVING,DRIVING,DRIVING,DRIVING,DRIVING,DRIVING,DRIVING,DRIVING,DRIVING,DRIVING,DRIVING,DRIVING,DRIVING,DRIVING,HOME
200995__2,TUE,HOME,HOME,HOME,HOME,HOME,HOME,HOME,DRIVING,WORK,WORK,WORK,WORK,WORK,WORK,WORK,WORK,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME
