,HP_ID_Reg,H_ID_Reg,P_ID,W_ID,W_GEW,W_HOCH,PROXY_01,W_RBW,W_DETAIL,ST_MONAT,ST_JAHR,ST_WOTAG,ST_WOCHE,arbwo,kernwo,feiertag,saison,wetter,W_SO1,W_SO2,W_SZ,W_SZS,W_SZM,sz_gr1,sz_gr2,W_AZ,W_AZS,W_AZM,az_gr1,az_gr2,W_FOLGETAG,wegmin,wegmin_gr,wegmin_imp1,wegmin_imp1_gr,wegmin_imp2,wegmin_imp2_gr,zweck,hwzweck1,hwzweck2,zweck_mop,wegkm,wegkm_gr,wegkm_imp,wegkm_imp_gr,tempo,W_VM_A,W_VM_B,W_VM_C,W_VM_D,W_VM_E,W_VM_F,W_VM_G,W_VM_H,W_VM_I,W_VM_J,W_VM_K,W_VM_L,W_VM_M,W_VM_N,W_VM_O,W_VM_P,W_VM_Q,W_VM_R,W_VM_S,W_VM_T,W_VM_U,W_VM_Z,hvm,hvm_diff1,hvm_diff2,hvm_oev,hvm_imp,vm_kombi,weg_intermod,W_FMF,mot_fmf,pkw_fmf,lkw_fmf,W_ANZBEGL,anzpers,begleit,km_routing_gr,vgl_min_auto,vgl_min_opnv,hhgr_gr2,anzauto_gr3,auto,H_CS,oek_status,hhtyp2,mobtyp,HP_SEX,alter_gr5,taet,P_BIL,P_FS_PKW,P_VAUTO,vpedrad,P_CS,P_FKARTE,P_STKFZ,seg_vm,multimodal,BLAND,BLAND_GEO,SKTYP,POLGK,RegioStaR17,RegioStaR7,RegioStaR4,RegioStaR2,RegioStaRGem7,RegioStaRGem5,VBGEM,VBGEM_SO,VBGEM_ZO,KKZ,KKZ_SO,KKZ_ZO,MB,MB_SO,MB_ZO,bus28,bus28_zo,tram28,tram28_zo,bahn28,bahn28_zo,min_fbhf,min_fbhf_zo,min_bab,min_bab_zo,min_ozmz,min_ozmz_zo,relief,relief_zo,diff_hoehe,diff_hoehe_zo,beventw,beventw_zo,sieddichte,sieddichte_zo,bevpot,bevpot_zo,stud_krs,stud_krs_zo,pkwdicht_krs,pkwdicht_krs_zo,ewqkm,kaufkraft,haustyp,hausnutz,garage,wohnlage,quali_nv,quali_opnv
0,10001951.0,10001950.0,1.0,1.0,0.32476592275833593,87.04438320381452,0.0,0.0,1.0,4.0,2017.0,2.0,16.0,1.0,2.0,0.0,2.0,95.0,2.0,1.0,54000.0,15.0,0.0,6.0,4.0,55200.0,15.0,20.0,6.0,4.0,0.0,20.0,5.0,20.0,5.0,20.0,5.0,7.0,6.0,6.0,4.0,5.88,5.0,5.88,5.0,17.64,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,706.0,706.0,706.0,706.0,0.0,1.0,716.0,706.0,706.0,706.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,5.0,2.0,5.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,4.0,9.0,4.0,1.0,5.0,112.0,72.0,11.0,1.0,73.0,52.0,95620000.0,999999995.0,999999995.0,9562.0,99995.0,99995.0,90701.0,999995.0,999995.0,1.0,95.0,6.0,95.0,3.0,95.0,1.0,95.0,1.0,95.0,1.0,95.0,2.0,95.0,0.0,9995.0,5.0,95.0,5.0,95.0,3.0,95.0,5.0,95.0,1.0,95.0,6.0,2.0,2.0,1.0,0.0,2.0,3.0,3.0
1,10001951.0,10001950.0,1.0,2.0,0.32476592275833593,87.04438320381452,0.0,0.0,1.0,4.0,2017.0,2.0,16.0,1.0,2.0,0.0,2.0,809.0,809.0,809.0,65400.0,18.0,10.0,7.0,5.0,66600.0,18.0,30.0,7.0,5.0,0.0,20.0,5.0,20.0,5.0,20.0,5.0,8.0,6.0,6.0,5.0,5.88,5.0,5.88,5.0,17.64,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,706.0,706.0,706.0,706.0,0.0,1.0,716.0,706.0,706.0,706.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,5.0,2.0,5.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,4.0,9.0,4.0,1.0,5.0,112.0,72.0,11.0,1.0,73.0,52.0,95620000.0,999999995.0,95620000.0,9562.0,99995.0,9562.0,90701.0,999995.0,90701.0,1.0,1.0,6.0,6.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,1.0,1.0,6.0,2.0,2.0,1.0,0.0,2.0,3.0,3.0
2,10001952.0,10001950.0,2.0,1.0,0.4917451903691232,131.79848558487353,0.0,0.0,1.0,4.0,2017.0,2.0,16.0,1.0,2.0,0.0,2.0,10.0,2.0,1.0,40200.0,11.0,10.0,5.0,3.0,41700.0,11.0,35.0,5.0,3.0,0.0,25.0,5.0,25.0,5.0,25.0,5.0,7.0,6.0,6.0,4.0,9.5,5.0,9.5,5.0,22.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,8.0,3.0,3.0,7.0,0.0,2.0,706.0,2.0,706.0,2.0,3.0,8.0,6.0,706.0,5.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,4.0,2.0,4.0,1.0,2.0,1.0,3.0,5.0,1.0,9.0,3.0,9.0,4.0,1.0,5.0,112.0,72.0,11.0,1.0,73.0,52.0,95620000.0,999999995.0,97610000.0,9562.0,9772.0,9761.0,90701.0,90906.0,90906.0,1.0,2.0,6.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,5.0,5.0,5.0,6.0,3.0,3.0,5.0,5.0,1.0,1.0,6.0,2.0,2.0,1.0,0.0,2.0,3.0,3.0
3,10001952.0,10001950.0,2.0,2.0,0.4917451903691232,131.79848558487353,0.0,0.0,1.0,4.0,2017.0,2.0,16.0,1.0,2.0,0.0,2.0,809.0,809.0,809.0,64800.0,18.0,0.0,7.0,5.0,67500.0,18.0,45.0,7.0,5.0,0.0,45.0,7.0,45.0,7.0,45.0,7.0,8.0,6.0,6.0,5.0,9.5,5.0,9.5,5.0,12.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,8.0,3.0,3.0,7.0,0.0,2.0,706.0,2.0,706.0,2.0,3.0,8.0,9.0,706.0,7.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,4.0,2.0,4.0,1.0,2.0,1.0,3.0,5.0,1.0,9.0,3.0,9.0,4.0,1.0,5.0,112.0,72.0,11.0,1.0,73.0,52.0,95620000.0,97610000.0,95620000.0,9562.0,9761.0,9562.0,90701.0,90906.0,90701.0,1.0,1.0,6.0,6.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,1.0,1.0,6.0,2.0,2.0,1.0,0.0,2.0,3.0,3.0
4,10002161.0,10002160.0,1.0,1.0,0.23522346945028014,63.0450437640179,0.0,0.0,1.0,2.0,2017.0,3.0,5.0,1.0,2.0,0.0,1.0,10.0,1.0,810.0,30600.0,8.0,30.0,3.0,2.0,32400.0,9.0,0.0,4.0,2.0,0.0,30.0,6.0,30.0,6.0,30.0,6.0,5.0,5.0,5.0,3.0,9.5,5.0,9.5,5.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,9.0,4.0,4.0,8.0,0.0,1.0,706.0,1.0,706.0,0.0,1.0,716.0,5.0,706.0,4.0,2.0,1.0,1.0,3.0,3.0,4.0,1.0,1.0,14.0,4.0,5.0,1.0,1.0,4.0,3.0,1.0,1.0,3.0,1.0,8.0,4.0,1.0,5.0,121.0,72.0,12.0,1.0,72.0,52.0,83110000.0,83110000.0,83110000.0,8311.0,8311.0,8311.0,80708.0,80708.0,80708.0,4.0,1.0,2.0,4.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,20.0,-40.0,5.0,5.0,6.0,6.0,3.0,3.0,5.0,5.0,1.0,1.0,7.0,5.0,1.0,1.0,0.0,4.0,3.0,3.0
5,10002161.0,10002160.0,1.0,2.0,0.23522346945028014,63.0450437640179,0.0,0.0,1.0,2.0,2017.0,3.0,5.0,1.0,2.0,0.0,1.0,809.0,809.0,809.0,37800.0,10.0,30.0,4.0,3.0,39900.0,11.0,5.0,5.0,3.0,0.0,35.0,6.0,35.0,6.0,35.0,6.0,8.0,5.0,5.0,5.0,9.5,5.0,9.5,5.0,16.29,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,9.0,4.0,4.0,8.0,0.0,1.0,706.0,1.0,706.0,0.0,1.0,716.0,5.0,706.0,4.0,2.0,1.0,1.0,3.0,3.0,4.0,1.0,1.0,14.0,4.0,5.0,1.0,1.0,4.0,3.0,1.0,1.0,3.0,1.0,8.0,4.0,1.0,5.0,121.0,72.0,12.0,1.0,72.0,52.0,83110000.0,83110000.0,83110000.0,8311.0,8311.0,8311.0,80708.0,80708.0,80708.0,4.0,4.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,20.0,20.0,5.0,5.0,6.0,6.0,3.0,3.0,5.0,5.0,1.0,1.0,7.0,5.0,1.0,1.0,0.0,4.0,3.0,3.0
6,10002161.0,10002160.0,1.0,3.0,0.23522346945028014,63.0450437640179,0.0,0.0,1.0,2.0,2017.0,3.0,5.0,1.0,2.0,0.0,1.0,809.0,809.0,809.0,55800.0,15.0,30.0,6.0,4.0,56700.0,15.0,45.0,6.0,4.0,0.0,15.0,4.0,15.0,4.0,15.0,4.0,4.0,4.0,4.0,3.0,0.98,2.0,0.98,2.0,3.92,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,706.0,706.0,706.0,706.0,0.0,1.0,716.0,706.0,706.0,706.0,2.0,1.0,1.0,3.0,3.0,4.0,1.0,1.0,14.0,4.0,5.0,1.0,1.0,4.0,3.0,1.0,1.0,3.0,1.0,8.0,4.0,1.0,5.0,121.0,72.0,12.0,1.0,72.0,52.0,83110000.0,83110000.0,999999995.0,8311.0,8311.0,99995.0,80708.0,80708.0,999995.0,4.0,95.0,2.0,95.0,4.0,95.0,1.0,95.0,1.0,95.0,1.0,95.0,4.0,95.0,20.0,9995.0,5.0,95.0,6.0,95.0,3.0,95.0,5.0,95.0,1.0,95.0,7.0,5.0,1.0,1.0,0.0,4.0,3.0,3.0
7,10002161.0,10002160.0,1.0,4.0,0.23522346945028014,63.0450437640179,0.0,0.0,1.0,2.0,2017.0,3.0,5.0,1.0,2.0,0.0,1.0,809.0,809.0,809.0,58500.0,16.0,15.0,6.0,5.0,59400.0,16.0,30.0,6.0,5.0,0.0,15.0,4.0,15.0,4.0,15.0,4.0,8.0,4.0,4.0,5.0,0.98,2.0,0.98,2.0,3.92,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,706.0,706.0,706.0,706.0,0.0,1.0,716.0,706.0,706.0,706.0,2.0,1.0,1.0,3.0,3.0,4.0,1.0,1.0,14.0,4.0,5.0,1.0,1.0,4.0,3.0,1.0,1.0,3.0,1.0,8.0,4.0,1.0,5.0,121.0,72.0,12.0,1.0,72.0,52.0,83110000.0,999999995.0,83110000.0,8311.0,99995.0,8311.0,80708.0,999995.0,80708.0,4.0,4.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,20.0,20.0,5.0,5.0,6.0,6.0,3.0,3.0,5.0,5.0,1.0,1.0,7.0,5.0,1.0,1.0,0.0,4.0,3.0,3.0
8,10002341.0,10002340.0,1.0,1.0,0.11167146324411863,29.930398968566827,0.0,0.0,201.0,7.0,2017.0,6.0,28.0,2.0,4.0,0.0,3.0,6.0,1.0,810.0,28800.0,8.0,0.0,3.0,2.0,29400.0,8.0,10.0,3.0,2.0,0.0,10.0,3.0,10.0,3.0,10.0,3.0,4.0,4.0,4.0,3.0,6.18,5.0,6.18,5.0,37.08,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,9.0,4.0,4.0,8.0,0.0,1.0,706.0,1.0,706.0,1.0,2.0,3.0,3.0,706.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,13.0,1.0,5.0,1.0,1.0,1.0,3.0,6.0,1.0,2.0,5.0,6.0,3.0,2.0,2.0,124.0,73.0,12.0,1.0,76.0,54.0,66330026.0,66330026.0,66330026.0,6633.0,6633.0,6633.0,60104.0,60104.0,60104.0,1.0,1.0,3.0,1.0,4.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,30.0,0.0,3.0,3.0,4.0,4.0,2.0,2.0,1.0,1.0,4.0,4.0,1.0,5.0,1.0,1.0,0.0,4.0,2.0,3.0
9,10002341.0,10002340.0,1.0,2.0,0.11167146324411863,29.930398968566827,0.0,0.0,201.0,7.0,2017.0,6.0,28.0,2.0,4.0,0.0,3.0,809.0,809.0,809.0,33000.0,9.0,10.0,4.0,2.0,33300.0,9.0,15.0,4.0,2.0,0.0,5.0,2.0,5.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,1.43,3.0,1.43,3.0,17.16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,9.0,4.0,4.0,8.0,0.0,1.0,706.0,1.0,706.0,1.0,2.0,3.0,3.0,706.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,13.0,1.0,5.0,1.0,1.0,1.0,3.0,6.0,1.0,2.0,5.0,6.0,3.0,2.0,2.0,124.0,73.0,12.0,1.0,76.0,54.0,66330026.0,66330026.0,66330026.0,6633.0,6633.0,6633.0,60104.0,60104.0,60104.0,1.0,1.0,3.0,3.0,4.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,30.0,30.0,3.0,3.0,4.0,4.0,2.0,2.0,1.0,1.0,4.0,4.0,1.0,5.0,1.0,1.0,0.0,4.0,2.0,3.0
