;W_VM_G;HP_ID_Reg;W_ID;W_GEW;W_HOCH;W_SZ;W_AZ;zweck;wegkm;wegmin_imp1;ST_JAHR;ST_MONAT;ST_WOCHE;ST_WOTAG;W_SZS;W_SZM;W_AZS;W_AZM;W_FOLGETAG;weg_intermod
0;703;1410;1;0.146626909;39.29922444;14400;15600;8;70703;20;2017;3;10;1;4;0;4;20;0;703
1;703;1410;2;0.146626909;39.29922444;27000;30600;1;70703;60;2017;3;10;1;7;30;8;30;0;703
2;703;1410;3;0.146626909;39.29922444;43200;45000;8;70703;30;2017;3;10;1;12;0;12;30;0;703
3;1;1410;4;0.146626909;39.29922444;50400;53400;2;9.5;50;2017;3;10;1;14;0;14;50;0;0
4;703;1410;5;0.146626909;39.29922444;58500;59400;8;70703;15;2017;3;10;1;16;15;16;30;0;703
5;703;2060;1;0.161518508;43.29049903;10800;11700;8;70703;15;2017;3;10;1;3;0;3;15;0;703
6;703;2060;2;0.161518508;43.29049903;30600;31800;3;70703;20;2017;3;10;1;8;30;8;50;0;703
7;703;2060;3;0.161518508;43.29049903;72000;73200;7;70703;20;2017;3;10;1;20;0;20;20;0;703
8;703;2060;4;0.161518508;43.29049903;82200;84000;8;70703;30;2017;3;10;1;22;50;23;20;0;703
9;703;866;1;0.290877358;77.96150532;37800;38400;4;70703;10;2017;3;9;5;10;30;10;40;0;703
10;703;866;2;0.290877358;77.96150532;39000;39600;8;70703;10;2017;3;9;5;10;50;11;0;0;703
11;703;866;3;0.290877358;77.96150532;56100;56400;4;70703;5;2017;3;9;5;15;35;15;40;0;703
12;703;866;4;0.290877358;77.96150532;57300;57600;8;70703;5;2017;3;9;5;15;55;16;0;0;703
13;703;866;5;0.290877358;77.96150532;61200;62100;5;70703;15;2017;3;9;5;17;0;17;15;0;703
14;703;866;6;0.290877358;77.96150532;63000;63600;8;70703;10;2017;3;9;5;17;30;17;40;0;703
15;703;866;7;0.290877358;77.96150532;71400;72000;7;70703;10;2017;3;9;5;19;50;20;0;0;703
16;703;866;8;0.290877358;77.96150532;77400;78000;8;70703;10;2017;3;9;5;21;30;21;40;0;703
17;703;1659;1;0.073108998;19.5948134;27600;29400;2;70703;30;2017;3;13;4;7;40;8;10;0;703
18;703;1659;2;0.073108998;19.5948134;61200;73800;8;70703;210;2017;3;13;4;17;0;20;30;0;703
19;1;636;1;0.190005539;50.92564766;22200;23400;1;13.3;20;2016;7;29;2;6;10;6;30;0;0
20;1;636;2;0.190005539;50.92564766;64800;66000;8;13.3;20;2016;7;29;2;18;0;18;20;0;0
21;0;1900;1;0.671753191;180.044574;36900;38400;5;2.7;25;2017;7;26;6;10;15;10;40;0;1
22;0;1900;2;0.671753191;180.044574;39000;40200;4;1.67;20;2017;7;26;6;10;50;11;10;0;0
23;0;1900;3;0.671753191;180.044574;42000;42600;8;0.78;10;2017;7;26;6;11;40;11;50;0;0
24;0;1900;4;0.671753191;180.044574;46800;47700;7;3.43;15;2017;7;26;6;13;0;13;15;0;0
25;0;1900;5;0.671753191;180.044574;55800;56700;8;3.43;15;2017;7;26;6;15;30;15;45;0;0
26;0;1900;6;0.671753191;180.044574;68400;72000;7;38.25;60;2017;7;26;6;19;0;20;0;0;1
27;0;1900;7;0.671753191;180.044574;81000;84600;8;38.25;60;2017;7;26;6;22;30;23;30;0;1
28;0;749;1;0.395493623;106.0009566;27000;31800;1;18;80;2017;2;7;1;7;30;8;50;0;1
29;0;749;2;0.395493623;106.0009566;45600;45660;2;2.7;1;2017;2;7;1;12;40;12;41;0;0
30;0;749;3;0.395493623;106.0009566;63360;68400;8;18;84;2017;2;7;1;17;36;19;0;0;1
31;0;87;1;0.359855922;96.4492719;39600;39900;5;0.15;5;2017;5;19;3;11;0;11;5;0;0
32;1;87;2;0.359855922;96.4492719;39900;40500;5;2.38;10;2017;5;19;3;11;5;11;15;0;0
33;1;87;3;0.359855922;96.4492719;40500;41100;8;2.38;10;2017;5;19;3;11;15;11;25;0;0
34;1;1264;1;0.446051925;119.5516894;27000;27600;6;1.9;10;2016;9;36;2;7;30;7;40;0;0
35;1;1264;2;0.446051925;119.5516894;28200;30300;1;20.7;35;2016;9;36;2;7;50;8;25;0;1
36;1;1264;3;0.446051925;119.5516894;53700;56700;9;20.7;50;2016;9;36;2;14;55;15;45;0;1
